run_id,compute_proc_type,primary_memory_size,index_type,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
35.1,M2,16,avl,311054,1665,2692,13437986
35.2,M2,16,avl,63679,707,1140,5011320
35.3,M2,16,avl,50226,637,1048,4269123
35.4,M2,16,avl,529527,865,1388,5562782
35.5,M2,16,avl,892501,2286,3668,14188766
35.6,M2,16,avl,141749,469,760,2940177
35.7,M2,16,avl,375413,1178,1880,7057189
35.8,M2,16,avl,998922,2486,3968,14769315
36.1,M2,16,bst,311054,1665,2692,20084857
36.2,M2,16,bst,63679,707,1140,6072044
36.3,M2,16,bst,50226,637,1048,5186080
36.4,M2,16,bst,529527,865,1388,6794929
36.5,M2,16,bst,892501,2286,3668,17153978
36.6,M2,16,bst,141749,469,760,3549814
36.7,M2,16,bst,375413,1178,1880,8744001
36.8,M2,16,bst,998922,2486,3968,18457889
37.1,M2,16,list,468704,2692,2692,28537858963
37.2,M2,16,list,675137,3832,1140,11993697881
37.3,M2,16,list,950424,4880,1048,10789397001
37.4,M2,16,list,1342745,6268,1388,14679996252
37.5,M2,16,list,2486322,9936,3668,38742178916
37.6,M2,16,list,2722572,10696,760,8157784938
37.7,M2,16,list,3423173,12577,1880,19846495866
37.8,M2,16,list,4520233,16545,3968,40866375923
38.1,M2,16,hash,258977,2692,2692,19493103
38.2,M2,16,hash,382045,3832,1140,2866744
38.3,M2,16,hash,512301,4880,1048,3374814
38.4,M2,16,hash,669023,6268,1388,2360105
38.5,M2,16,hash,1209588,9936,3668,4117965
38.6,M2,16,hash,1335685,10696,760,679731
38.7,M2,16,hash,1633521,12577,1880,1610994
38.8,M2,16,hash,2153839,16545,3968,2964019
39.1,M2,16,avl,468704,2692,2692,25108814
39.2,M2,16,avl,675137,3832,1140,8691787
39.3,M2,16,avl,950424,4880,1048,7581949
39.4,M2,16,avl,1342745,6268,1388,9994029
39.5,M2,16,avl,2486322,9936,3668,26009798
39.6,M2,16,avl,2722572,10696,760,5213975
39.7,M2,16,avl,3423173,12577,1880,13018846
39.8,M2,16,avl,4520233,16545,3968,27452945
40.1,M2,16,bst,468704,2692,2692,31847953
40.2,M2,16,bst,675137,3832,1140,10805130
40.3,M2,16,bst,950424,4880,1048,9601116
40.4,M2,16,bst,1342745,6268,1388,12845993
40.5,M2,16,bst,2486322,9936,3668,33922672
40.6,M2,16,bst,2722572,10696,760,7038116
40.7,M2,16,bst,3423173,12577,1880,17273664
40.8,M2,16,bst,4520233,16545,3968,36568880
41.1,M2,16,list,468704,4038,2692,28192800998
41.2,M2,16,list,206433,1710,1140,12085439920
41.3,M2,16,list,275287,1572,1048,10799608707
41.4,M2,16,list,392321,2082,1388,14366662979
41.5,M2,16,list,1143577,5502,3668,37386590242
41.6,M2,16,list,236250,1140,760,7777285099
41.7,M2,16,list,700601,2819,1880,19272403955
41.8,M2,16,list,1097060,5952,3968,40676553964
42.1,M2,16,hash,258977,4038,2692,4461050
42.2,M2,16,hash,123068,1710,1140,1538038
42.3,M2,16,hash,130256,1572,1048,1265764
42.4,M2,16,hash,156722,2082,1388,1569986
42.5,M2,16,hash,540565,5502,3668,3466844
42.6,M2,16,hash,126097,1140,760,653028
42.7,M2,16,hash,297836,2819,1880,1592874
42.8,M2,16,hash,520318,5952,3968,2931118
43.1,M2,16,avl,468704,4038,2692,20009994
43.2,M2,16,avl,206433,1710,1140,8202075
43.3,M2,16,avl,275287,1572,1048,7297754
43.4,M2,16,avl,392321,2082,1388,9629011
43.5,M2,16,avl,1143577,5502,3668,25079965
43.6,M2,16,avl,236250,1140,760,5120038
43.7,M2,16,avl,700601,2819,1880,12693166
43.8,M2,16,avl,1097060,5952,3968,26952028
44.1,M2,16,bst,468704,4038,2692,27863979
44.2,M2,16,bst,206433,1710,1140,12105941
44.3,M2,16,bst,275287,1572,1048,11695146
44.4,M2,16,bst,392321,2082,1388,13969898
44.5,M2,16,bst,1143577,5502,3668,34748077
44.6,M2,16,bst,236250,1140,760,7392168
44.7,M2,16,bst,700601,2819,1880,17789840
44.8,M2,16,bst,1097060,5952,3968,37173986
45.1,M2,16,list,311054,1665,2692,13790374755
45.2,M2,16,list,63679,707,1140,5869589090
45.3,M2,16,list,50226,637,1048,5485581874
45.4,M2,16,list,529527,865,1388,7325778007
45.5,M2,16,list,892501,2286,3668,19268680095
45.6,M2,16,list,141749,469,760,4046113014
45.7,M2,16,list,375413,1178,1880,9838256120
45.8,M2,16,list,998922,2486,3968,20937278985
46.1,M2,16,hash,171145,1665,2692,1535892
46.2,M2,16,hash,40113,707,1140,593185
46.3,M2,16,hash,37259,637,1048,533103
46.4,M2,16,hash,113932,865,1388,699996
46.5,M2,16,hash,435414,2286,3668,1724958
46.6,M2,16,hash,88719,469,760,356674
46.7,M2,16,hash,233702,1178,1880,854969
46.8,M2,16,hash,366649,2486,3968,1798868
47.1,M2,16,avl,311054,1665,2692,9917974
47.2,M2,16,avl,63679,707,1140,4083156
47.3,M2,16,avl,50226,637,1048,3657817
47.4,M2,16,avl,529527,865,1388,4814863
47.5,M2,16,avl,892501,2286,3668,12492895
47.6,M2,16,avl,141749,469,760,2669095
47.7,M2,16,avl,375413,1178,1880,6420135
47.8,M2,16,avl,998922,2486,3968,13641119
48.1,M2,16,bst,311054,1665,2692,12889146
48.2,M2,16,bst,63679,707,1140,5296230
48.3,M2,16,bst,50226,637,1048,4877805
48.4,M2,16,bst,529527,865,1388,6376981
48.5,M2,16,bst,892501,2286,3668,16537189
48.6,M2,16,bst,141749,469,760,3439903
48.7,M2,16,bst,375413,1178,1880,8506059
48.8,M2,16,bst,998922,2486,3968,18196344
49.1,M2,16,list,468704,2692,2692,28537858963
49.2,M2,16,list,675137,3832,1140,11993697881
49.3,M2,16,list,950424,4880,1048,10789397001
49.4,M2,16,list,1342745,6268,1388,14679996252
49.5,M2,16,list,2486322,9936,3668,38742178916
49.6,M2,16,list,2722572,10696,760,8157784938
49.7,M2,16,list,3423173,12577,1880,19846495866
49.8,M2,16,list,4520233,16545,3968,40866375923
50.1,M2,16,hash,258977,2692,2692,19493103
50.2,M2,16,hash,382045,3832,1140,2866744
50.3,M2,16,hash,512301,4880,1048,3374814
50.4,M2,16,hash,669023,6268,1388,2360105
50.5,M2,16,hash,1209588,9936,3668,4117965
50.6,M2,16,hash,1335685,10696,760,679731
50.7,M2,16,hash,1633521,12577,1880,1610994
50.8,M2,16,hash,2153839,16545,3968,2964019
51.1,M2,16,avl,468704,2692,2692,25108814
51.2,M2,16,avl,675137,3832,1140,8691787
51.3,M2,16,avl,950424,4880,1048,7581949
